StudentID;Age;Gender;Ethnicity;ParentalEducation;StudyTimeWeekly;Absences;Tutoring;ParentalSupport;Extracurricular;Sports;Music;Volunteering;GPA;GradeClass
1001;17;1;0;2;19.833.722.807.854.700;7;1;2;0;0;1;0;2.929.195.591.667.680;2.0
1002;18;0;0;1;1.540.875.605.584.670;0;0;1;0;0;0;0;3.042.914.833.436.370;1.0
1003;15;0;2;3;421.056.976.881.226;26;0;2;0;0;0;0;0.1126022544661815;4.0
1004;17;1;0;3;10.028.829.473.958.200;14;0;3;1;0;0;0;20.542.181.397.029.400;3.0
1005;17;1;0;2;46.724.952.729.713.300;17;1;3;0;0;0;0;12.880.611.817.953.800;4.0
1006;18;0;0;1;8.191.218.545.250.180;0;0;1;1;0;0;0;30.841.836.144.863.900;1.0
1007;15;0;1;1;15.601.680.474.699.200;10;0;3;0;1;0;0;2.748.237.414.891.580;2.0
1008;15;1;1;4;15.424.496.305.808.000;22;1;1;1;0;0;0;1.360.142.712.316.460;4.0
1009;17;0;0;0;4.562.007.558.047.700;1;0;2;0;1;0;1;2.896.819.189.513.560;2.0
1010;16;1;0;1;18.444.466.363.097.200;0;0;3;1;0;0;0;35.734.742.103.297.600;0.0
1011;17;0;0;1;11.851.363.655.296.500;11;0;1;0;0;0;0;21.471.716.250.185.100;3.0
1012;17;0;0;1;759.848.581.924.029;15;0;2;0;0;0;1;15.595.945.190.402.700;4.0
1013;17;0;1;1;10.038.711.615.617.200;21;0;3;1;0;0;0;1.520.077.814.874.800;4.0
1014;17;0;1;2;12.101.425.068.754.800;21;0;4;0;1;0;0;17.515.809.583.340.700;4.0
1015;18;1;0;1;11.197.810.636.915.700;9;1;2;0;0;0;0;2.396.788.117.124.790;3.0
1016;15;0;0;2;9.728.100.710.723.560;17;1;0;0;1;0;0;13.415.207.165.346.600;4.0
1017;18;0;3;1;10.098.656.081.788.000;14;0;2;1;1;0;0;22.321.752.777.159.700;3.0
1018;18;1;0;0;35.282.382.085.577.200;16;1;2;0;0;0;0;13.844.041.756.940.300;4.0
1019;18;0;1;3;1.625.465.808.609.350;29;0;2;1;0;0;1;0.4695533233798704;4.0
1020;17;0;0;1;10.835.206.398.820.300;9;0;2;0;0;1;0;23.957.840.945.306.900;3.0
1021;16;1;0;3;2.621.597.234.094.060;2;0;3;0;0;0;1;2.778.411.299.920.650;2.0
1022;15;0;0;2;15.323.142.031.655.500;25;0;1;1;0;0;0;0.34689403670501484;4.0
1023;16;1;1;0;18.648.879.567.547.000;29;1;1;0;0;0;0;0.3125462305253549;4.0
1024;18;1;3;4;1.894.613.798.473.920;20;0;2;1;0;0;0;17.701.318.767.799.700;4.0
1025;18;1;0;1;7.380.354.648.223.450;15;0;2;0;0;0;0;15.051.556.220.362.800;4.0
1026;16;1;0;3;27.103.374.712.150.800;5;0;4;0;0;1;0;2.977.851.918.315.740;2.0
1027;16;0;0;1;10.367.992.532.661.300;2;0;2;0;1;0;0;2.948.717.671.911.920;2.0
1028;16;1;0;3;22.521.845.869.844.100;8;0;3;0;0;1;0;21.452.047.204.671.900;3.0
1029;18;0;0;0;18.679.748.370.252.300;10;0;3;1;0;0;0;2.854.803.928.981.310;2.0
1030;18;0;0;2;367.159.254.710.292;20;0;3;1;0;0;0;1.519.441.725.815.130;4.0
1031;15;0;2;2;5.055.317.199.023.280;12;1;0;0;1;0;0;1.727.120.309.522.400;4.0
1032;15;0;0;3;8.132.730.537.699.400;17;0;4;0;0;0;1;18.475.354.711.387.900;4.0
1033;18;0;0;3;7.663.289.371.182.510;25;0;1;0;1;0;0;0.38461697285648777;4.0
1034;16;0;3;3;1.589.325.784.795.770;21;0;0;1;1;0;0;0.94940609779728;4.0
1035;16;0;0;3;9.126.336.411.019.240;27;1;2;1;1;0;0;11.409.594.184.203.300;4.0
1036;15;0;3;1;3.415.365.200.066.730;23;0;1;0;0;0;0;0.2614722600507521;4.0
1037;18;0;0;1;5.344.197.909.721.480;26;1;1;0;0;0;0;0.21828485682103177;4.0
1038;15;0;2;1;1.018.226.770.375.040;21;1;1;0;1;0;0;10.677.635.510.419.700;4.0
1039;15;1;1;1;2.949.078.348.522.690;3;1;1;1;1;0;0;30.189.058.584.279.600;1.0
1040;17;1;2;1;12.233.113.512.920.200;21;1;3;1;1;0;0;15.268.678.317.927.200;4.0
1041;17;1;3;2;11.314.946.131.022.900;23;1;1;0;0;0;0;10.582.873.996.898.600;4.0
1042;17;0;0;1;14.294.046.327.645.100;7;0;2;0;0;0;0;2.625.128.097.732.230;2.0
1043;16;1;3;2;18.754.092.307.587.300;12;1;4;0;0;0;0;28.087.548.220.286.500;2.0
1044;18;1;0;1;18.245.091.222.023.100;9;0;2;0;1;0;0;28.888.916.692.724.400;2.0
1045;18;1;0;1;18.921.512.361.376.600;1;1;3;1;1;0;0;4.0;0.0
1046;18;0;0;2;4.894.311.940.474.010;7;0;4;0;0;1;0;2.515.300.272.256.240;2.0
1047;18;0;1;2;26.313.061.327.870.900;5;0;1;1;0;0;0;25.637.654.300.150.900;2.0
1048;17;0;0;2;604.553.400.992.897;15;0;2;0;0;0;0;17.036.118.032.323.600;4.0
